2020,10.034,2.0032
2019,9.4821,1.4577
2018,8.5332,1.6185
2017,9.0907,1.5627
2016,8.2958,0.87741
2015,8.1073,1.4943
2014,7.6966,1.5704
2013,7.6524,1.5105
2012,6.171,1.8045
2011,5.0308,1.1799
2010,5.6601,1.7483
2009,5.4007,1.6141
2008,4.5833,1.7623
2007,3.8179,2.5131
2006,2.7049,3.1043
2005,2.1202,2.4436
2004,0.65816,2.1828
2003,-0.07428,1.6001
2002,0.46176,2.1635
2001,2.6238,3.2976
2000,4.6532,4.2032
1999,4.6582,3.6346
1998,5.2157,2.7163
1997,6.1843,2.8198
1996,5.3465,1.8991
1995,4.5372,1.2266
1994,4.1192,1.67
1993,7.347,6.1812
1992,6.5598,6.453
1991,6.2486,6.8036
1990,10.497,8.4243
1989,12.537,7.1915
1988,12.517,5.5832
1987,15.012,2.8335
1986,15.992,2.0755
1985,15.873,2.3497
1984,17.202,0.0035456
1983,17.202,0.0038765
1982,17.108,0.13126
1981,17.013,0.18758
1980,16.976,0.22636
1979,16.909,0.21507
