#,data_fields:,site,year,,#,data_fields:,site,year,,#,data_fields:,site,year,
ALT,1985,6,1728.48,1985.419406,ALT,1985,6,1728.48,1985.419406,SMO,1983,4,1570.88,1983.25274
ALT,1985,7,1716.96,1985.50274,ALT,1985,7,1716.96,1985.50274,SMO,1983,5,1574.43,1983.336073
ALT,1985,8,1715.51,1985.586073,ALT,1985,8,1715.51,1985.586073,SMO,1983,6,1587.5,1983.419406
ALT,1985,9,1739.48,1985.669406,ALT,1985,9,1739.48,1985.669406,SMO,1983,7,1593.46,1983.50274
ALT,1985,10,1760.61,1985.75274,ALT,1985,10,1760.61,1985.75274,SMO,1983,8,1592.76,1983.586073
ALT,1985,11,1761.19,1985.836073,ALT,1985,11,1761.19,1985.836073,SMO,1983,9,1594.16,1983.669406
ALT,1985,12,1771.32,1985.919406,ALT,1985,12,1771.32,1985.919406,SMO,1983,10,1598.23,1983.75274
ALT,1986,1,1779.4,1986.00274,ALT,1986,1,1779.4,1986.00274,SMO,1983,11,1596.82,1983.836073
ALT,1986,2,1781.94,1986.086073,ALT,1986,2,1781.94,1986.086073,SMO,1983,12,1598.48,1983.919406
ALT,1986,3,1787.66,1986.169406,ALT,1986,3,1787.66,1986.169406,SMO,1984,1,1608.63,1984.00274
ALT,1986,4,1779.15,1986.25274,ALT,1986,4,1779.15,1986.25274,SMO,1984,2,1601.87,1984.086073
ALT,1986,5,1764.71,1986.336073,ALT,1986,5,1764.71,1986.336073,SMO,1984,3,1588.64,1984.169406
ALT,1986,6,1745.5,1986.419406,ALT,1986,6,1745.5,1986.419406,SMO,1984,4,1592.78,1984.25274
ALT,1986,7,1734.03,1986.50274,ALT,1986,7,1734.03,1986.50274,SMO,1984,5,1597.92,1984.336073
ALT,1986,8,1738.32,1986.586073,ALT,1986,8,1738.32,1986.586073,SMO,1984,6,1605.31,1984.419406
ALT,1986,9,1753.16,1986.669406,ALT,1986,9,1753.16,1986.669406,SMO,1984,7,1611.09,1984.50274
ALT,1986,10,1774.14,1986.75274,ALT,1986,10,1774.14,1986.75274,SMO,1984,8,1609.18,1984.586073
